scenario_id,scenario_name,work_role,work_role_name,category,covered_techniques,total_techniques,technique_coverage,covered_tasks,total_candidate_tasks,task_coverage,mean_mapping_score,max_mapping_score,mean_technique_similarity,mean_tactic_similarity,mean_mitigation_similarity,semantic_evidence,role_score,role_score_norm,score_column_used
LOADERS,Loaders,IO-WRL-005,"Responsible for setting up and maintaining a system or specific components of a system in adherence with organizational security policies and procedures. Includes hardware and software installation, configuration, and updates; user account management; backup and recovery management; and security control implementation.",IO,15,23,0.6521739130434783,15,151,0.09933774834437085,0.47022,0.6308,0.4680458333333333,0.3025291666666667,0.4236,0.30666521739130437,0.5139704347826087,1.0,similarity_score
LOADERS,Loaders,PD-WRL-002,Responsible for analyzing digital evidence from computer security incidents to derive useful information in support of system and network vulnerability mitigation.,PD,14,23,0.6086956521739131,19,151,0.12582781456953643,0.5541,0.7923,0.5567235294117647,0.2459676470588235,0.36239,0.33727826086956525,0.500128695652174,0.9730689973708521,similarity_score
LOADERS,Loaders,DD-WRL-004,"Responsible for the secure design, development, and testing of systems and the evaluation of system security throughout the systems development life cycle.",DD,14,23,0.6086956521739131,15,151,0.09933774834437085,0.4649357142857143,0.5898,0.45058,0.37162399999999995,0.45882,0.28300434782608697,0.4784191304347826,0.9308300595872542,similarity_score
LOADERS,Loaders,IN-WRL-002,"Responsible for identifying, collecting, examining, and preserving digital evidence using controlled and documented analytical and investigative techniques.",IN,13,23,0.5652173913043478,22,151,0.1456953642384106,0.5325153846153846,0.6663,0.53833,0.25294249999999996,0.3,0.3009869565217391,0.45952521739130436,0.8940693594285578,similarity_score
LOADERS,Loaders,DD-WRL-002,"Responsible for developing and maintaining business, systems, and information processes to support enterprise mission needs. Develops technology rules and requirements that describe baseline and target architectures.",DD,12,23,0.5217391304347826,13,151,0.08609271523178808,0.4635,0.5314,0.44208333333333333,0.39755416666666665,0.45863125,0.24182608695652175,0.4097739130434782,0.7972713707098699,similarity_score
LOADERS,Loaders,DD-WRL-001,"Responsible for ensuring that security requirements are adequately addressed in all aspects of enterprise architecture, including reference models, segment and solution architectures, and the resulting systems that protect and support organizational mission and business processes.",DD,12,23,0.5217391304347826,12,151,0.07947019867549669,0.4522,0.5314,0.4309,0.40223333333333333,0.47599285714285716,0.2359304347826087,0.407415652173913,0.7926830506237881,similarity_score
LOADERS,Loaders,PD-WRL-001,Responsible for analyzing data collected from various cybersecurity defense tools to mitigate risks.,PD,11,23,0.4782608695652174,9,151,0.059602649006622516,0.5331454545454546,0.7279,0.5231266666666666,0.25203333333333333,0.40195000000000003,0.2549826086956522,0.3889495652173913,0.7567547448169917,similarity_score
LOADERS,Loaders,IO-WRL-006,"Responsible for developing and analyzing the integration, testing, operations, and maintenance of systems security. Prepares, performs, and manages the security aspects of implementing and operating a system.",IO,11,23,0.4782608695652174,11,151,0.0728476821192053,0.46333636363636366,0.6219,0.44682352941176473,0.3624705882352941,0.422575,0.22159565217391305,0.37559478260869567,0.7307711829135832,similarity_score
LOADERS,Loaders,DD-WRL-003,"Responsible for developing, creating, modifying, and maintaining computer applications, software, or specialized utility programs.",DD,9,23,0.391304347826087,12,151,0.07947019867549669,0.45993333333333336,0.6041,0.4421238095238095,0.3647952380952381,0.5093666666666666,0.17997391304347826,0.30677217391304346,0.5968673549146795,similarity_score
LOADERS,Loaders,IO-WRL-007,Responsible for providing technical support to customers who need assistance utilizing client-level hardware and software in accordance with established or approved organizational policies and processes.,IO,9,23,0.391304347826087,9,151,0.059602649006622516,0.4355111111111111,0.5283,0.4548666666666667,0.2864083333333333,0.34750000000000003,0.17041739130434783,0.3029495652173913,0.5894299452176237,similarity_score
LOADERS,Loaders,OG-WRL-014,"Responsible for managing the cybersecurity of a program, organization, system, or enclave.",OG,9,23,0.391304347826087,7,151,0.046357615894039736,0.43545555555555554,0.5749,0.4335555555555556,0.33076666666666665,0.48827142857142863,0.17039565217391303,0.3029408695652174,0.5894130266332355,similarity_score
LOADERS,Loaders,IO-WRL-004,"Responsible for planning, implementing, and operating network services and systems, including hardware and virtual environments.",IO,7,23,0.30434782608695654,7,151,0.046357615894039736,0.43957142857142856,0.5836,0.43775,0.21441,0.38756666666666667,0.13378260869565217,0.23612173913043477,0.45940724047737475,similarity_score
LOADERS,Loaders,OG-WRL-017,"Responsible for developing cybersecurity supply chain risk management (C-SCRM) policies, processes, and procedures to identify, assess, protect against, and respond to cybersecurity risks throughout the supply chain, and for advising other stakeholders within an enterprise about supply chain risks.",OG,7,23,0.30434782608695654,6,151,0.039735099337748346,0.41687142857142856,0.5212,0.4222625,0.3848875,0.49440000000000006,0.12687391304347825,0.2333582608695652,0.45403051435880254,similarity_score
LOADERS,Loaders,DD-WRL-005,"Responsible for analyzing the security of new or existing computer applications, software, or specialized utility programs and delivering actionable results.",DD,6,23,0.2608695652173913,7,151,0.046357615894039736,0.46036666666666665,0.6041,0.4695444444444445,0.3123111111111111,0.48434,0.12009565217391305,0.20456,0.39799954658193837,similarity_score
LOADERS,Loaders,IN-WRL-001,"Responsible for investigating cyberspace intrusion incidents and crimes. Applies tactics, techniques, and procedures for a full range of investigative tools and processes and appropriately balances the benefits of prosecution versus intelligence gathering.",IN,5,23,0.21739130434782608,4,151,0.026490066225165563,0.4941,0.5808,0.5042,0.37872,0.39405,0.10741304347826086,0.1734,0.33737349128523714,similarity_score
