role_id,role_name,category,mapped_job,salary_model,min_salary,avg_salary,max_salary,overhead,cost_min,cost_avg,cost_max,confidence,source_id,last_update,notes
DD-WRL-001,Cybersecurity Architecture,DD,Security Architect,direct,119000,165000,228000,0.35,160650.0,222750.0,307800.0,High,S3,2026-06-30,Direct market profile range.
DD-WRL-002,Enterprise Architecture,DD,Enterprise Architect,direct,90000,120000,165000,0.3,117000.0,156000.0,214500.0,High,S1,2026-06-30,Direct NICCS average; range inferred.
DD-WRL-003,Secure Software Development,DD,Software Developer (Secure Coding),direct,94000,130000,179000,0.26,118440.0,163800.0,225540.0,High,S3,2026-06-30,Direct market profile range.
DD-WRL-004,Secure Systems Development,DD,Systems Engineer (Security),mapped,90000,125000,172000,0.28,115200.0,160000.0,220160.0,High,S3,2026-06-30,Mapped to security systems engineering.
DD-WRL-005,Software Security Assessment,DD,Secure Software Assessor,direct,90000,100000,130000,0.28,115200.0,128000.0,166400.0,High,S1,2026-06-30,Direct NICCS average; range inferred and cross-checked with software QA/security assessment.
DD-WRL-006,Systems Requirements Planning,DD,Systems Engineer (Security),mapped,90000,125000,172000,0.28,115200.0,160000.0,220160.0,Medium,S3,2026-06-30,Mapped to systems engineering and requirements planning.
DD-WRL-007,Systems Testing and Evaluation,DD,Software and Quality Assurance Engineer / Tester,mapped,94000,130000,179000,0.26,118440.0,163800.0,225540.0,Medium,S3,2026-06-30,Mapped to secure software testing and evaluation.
DD-WRL-008,Technology Research and Development,DD,AI Security Engineer,estimated,117000,162000,224000,0.45,169650.0,234900.0,324800.0,Medium,S3,2026-06-30,Estimated from AI Security Engineer / research profile.
DD-WRL-009,Operational Technology (OT) Cybersecurity Engineering,DD,Security Engineer (Blue Team),estimated,99000,138000,190000,0.33,131670.0,183540.0,252700.0,Medium,S3,2026-06-30,Estimated for OT cybersecurity engineering from security engineering profile.
IN-WRL-001,Cybercrime Investigation,IN,Cyber Crime Investigator,direct,76000,105000,145000,0.28,97280.0,134400.0,185600.0,High,S3,2026-06-30,Direct market profile range.
IN-WRL-002,Digital Evidence Analysis,IN,Digital Forensics Examiner,mapped,85000,118000,163000,0.28,108800.0,151040.0,208640.0,High,S3,2026-06-30,Mapped to digital forensics examiner profile.
IO-WRL-001,Data Analysis,IO,Data Analyst,direct,80000,100000,130000,0.28,102400.0,128000.0,166400.0,High,S1,2026-06-30,Direct NICCS average; range inferred.
IO-WRL-002,Database Administration,IO,Database Administrator,direct,79000,110000,152000,0.28,101120.0,140800.0,194560.0,High,S3,2026-06-30,Direct market profile range.
IO-WRL-003,Knowledge Management,IO,Knowledge Manager,direct,70000,90000,120000,0.28,89600.0,115200.0,153600.0,High,S1,2026-06-30,Direct NICCS average; range inferred.
IO-WRL-004,Network Operations,IO,Network Operations Specialist,direct,72000,100000,138000,0.28,92160.0,128000.0,176640.0,High,S3,2026-06-30,Direct market profile range; NICCS average also available.
IO-WRL-005,Systems Administration,IO,Systems Administrator (Security),direct,66000,92000,127000,0.25,82500.0,115000.0,158750.0,High,S3,2026-06-30,Direct market profile range.
IO-WRL-006,Systems Security Analysis,IO,Systems Security Analyst,direct,90000,100000,130000,0.3,117000.0,130000.0,169000.0,High,S1,2026-06-30,Direct NICCS average; range inferred.
IO-WRL-007,Technical Support,IO,Technical Support Specialist,direct,50000,60000,75000,0.25,62500.0,75000.0,93750.0,High,S1,2026-06-30,Direct NICCS average; range inferred.
OG-WRL-001,Communications Security (COMSEC) Management,OG,Communications Security Manager,direct,56000,70000,91000,0.28,71680.0,89600.0,116480.0,High,S1,2026-06-30,Direct NICCS career profile; range inferred around provided average.
